approach,precision,recall,f1,coverage
e2e_biobert_predictions,0.798,0.68,0.673,0.98
finetuned_distilbert,0.769,0.647,0.639,0.96
crf_predictions,0.614,0.455,0.459,0.773
llm_qwen,0.249,0.377,0.261,1.0
zero_shot_flan_t5,0.439,0.181,0.221,0.6
few_shot_flan_t5,0.395,0.173,0.206,0.6
gazetteer,0.391,0.165,0.198,0.913
few_shot_json_flan_t5,0.392,0.148,0.186,0.6
rule_based,0.261,0.148,0.15,0.553
qa_decomposed_2,0.007,0.007,0.007,0.0
qa_decomposed_3,0.007,0.007,0.007,0.0
qa_end_to_end,0.007,0.007,0.007,0.0
