query,field,keyword,gold_matches,approach,pred_matches,recall_vs_gold
Trials with placebo,interventions,placebo,11,crf_predictions,11,1.0
Trials with placebo,interventions,placebo,11,e2e_biobert_predictions,11,1.0
Trials with placebo,interventions,placebo,11,few_shot_flan_t5,0,0.0
Trials with placebo,interventions,placebo,11,few_shot_json_flan_t5,0,0.0
Trials with placebo,interventions,placebo,11,finetuned_distilbert,12,1.0909090909090908
Trials with placebo,interventions,placebo,11,gazetteer,12,1.0909090909090908
Trials with placebo,interventions,placebo,11,llm_qwen,4,0.36363636363636365
Trials with placebo,interventions,placebo,11,qa_decomposed_2,0,0.0
Trials with placebo,interventions,placebo,11,qa_decomposed_3,0,0.0
Trials with placebo,interventions,placebo,11,qa_end_to_end,0,0.0
Trials with placebo,interventions,placebo,11,rule_based,12,1.0909090909090908
Trials with placebo,interventions,placebo,11,zero_shot_flan_t5,0,0.0
Trials mentioning patients,participants,patient,33,crf_predictions,5,0.15151515151515152
Trials mentioning patients,participants,patient,33,e2e_biobert_predictions,3,0.09090909090909091
Trials mentioning patients,participants,patient,33,few_shot_flan_t5,11,0.3333333333333333
Trials mentioning patients,participants,patient,33,few_shot_json_flan_t5,13,0.3939393939393939
Trials mentioning patients,participants,patient,33,finetuned_distilbert,4,0.12121212121212122
Trials mentioning patients,participants,patient,33,gazetteer,1,0.030303030303030304
Trials mentioning patients,participants,patient,33,llm_qwen,27,0.8181818181818182
Trials mentioning patients,participants,patient,33,qa_decomposed_2,0,0.0
Trials mentioning patients,participants,patient,33,qa_decomposed_3,0,0.0
Trials mentioning patients,participants,patient,33,qa_end_to_end,0,0.0
Trials mentioning patients,participants,patient,33,rule_based,25,0.7575757575757576
Trials mentioning patients,participants,patient,33,zero_shot_flan_t5,19,0.5757575757575758
Trials measuring pain,outcomes,pain,5,crf_predictions,4,0.8
Trials measuring pain,outcomes,pain,5,e2e_biobert_predictions,5,1.0
Trials measuring pain,outcomes,pain,5,few_shot_flan_t5,1,0.2
Trials measuring pain,outcomes,pain,5,few_shot_json_flan_t5,1,0.2
Trials measuring pain,outcomes,pain,5,finetuned_distilbert,5,1.0
Trials measuring pain,outcomes,pain,5,gazetteer,5,1.0
Trials measuring pain,outcomes,pain,5,llm_qwen,2,0.4
Trials measuring pain,outcomes,pain,5,qa_decomposed_2,0,0.0
Trials measuring pain,outcomes,pain,5,qa_decomposed_3,0,0.0
Trials measuring pain,outcomes,pain,5,qa_end_to_end,0,0.0
Trials measuring pain,outcomes,pain,5,rule_based,1,0.2
Trials measuring pain,outcomes,pain,5,zero_shot_flan_t5,0,0.0
Trials with rehabilitation,interventions,rehabilitation,0,crf_predictions,0,0.0
Trials with rehabilitation,interventions,rehabilitation,0,e2e_biobert_predictions,0,0.0
Trials with rehabilitation,interventions,rehabilitation,0,few_shot_flan_t5,0,0.0
Trials with rehabilitation,interventions,rehabilitation,0,few_shot_json_flan_t5,0,0.0
Trials with rehabilitation,interventions,rehabilitation,0,finetuned_distilbert,0,0.0
Trials with rehabilitation,interventions,rehabilitation,0,gazetteer,0,0.0
Trials with rehabilitation,interventions,rehabilitation,0,llm_qwen,1,0.0
Trials with rehabilitation,interventions,rehabilitation,0,qa_decomposed_2,0,0.0
Trials with rehabilitation,interventions,rehabilitation,0,qa_decomposed_3,0,0.0
Trials with rehabilitation,interventions,rehabilitation,0,qa_end_to_end,0,0.0
Trials with rehabilitation,interventions,rehabilitation,0,rule_based,0,0.0
Trials with rehabilitation,interventions,rehabilitation,0,zero_shot_flan_t5,0,0.0
