approach,field,precision,recall,f1,coverage
crf_predictions,participants,0.609,0.229,0.301,0.64
crf_predictions,interventions,0.54,0.624,0.514,0.82
crf_predictions,outcomes,0.692,0.51,0.563,0.86
e2e_biobert_predictions,participants,0.874,0.4,0.512,0.96
e2e_biobert_predictions,interventions,0.727,0.912,0.778,0.98
e2e_biobert_predictions,outcomes,0.792,0.727,0.73,1.0
few_shot_flan_t5,participants,0.773,0.295,0.37,1.0
few_shot_flan_t5,interventions,0.663,0.444,0.444,1.0
few_shot_flan_t5,outcomes,0.367,0.107,0.153,1.0
few_shot_json_flan_t5,participants,0.803,0.242,0.319,1.0
few_shot_json_flan_t5,interventions,0.673,0.383,0.417,1.0
few_shot_json_flan_t5,outcomes,0.337,0.083,0.123,1.0
finetuned_distilbert,participants,0.855,0.382,0.497,0.92
finetuned_distilbert,interventions,0.648,0.842,0.691,0.96
finetuned_distilbert,outcomes,0.804,0.748,0.754,1.0
gazetteer,participants,0.285,0.117,0.153,0.94
gazetteer,interventions,0.317,0.208,0.203,0.86
gazetteer,outcomes,0.572,0.172,0.238,0.94
llm_qwen,participants,0.305,0.417,0.314,1.0
llm_qwen,interventions,0.286,0.544,0.315,1.0
llm_qwen,outcomes,0.156,0.171,0.154,1.0
rule_based,participants,0.313,0.299,0.262,0.54
rule_based,interventions,0.126,0.079,0.083,0.62
rule_based,outcomes,0.344,0.066,0.106,0.5
zero_shot_flan_t5,participants,0.843,0.301,0.392,1.0
zero_shot_flan_t5,interventions,0.696,0.423,0.434,1.0
zero_shot_flan_t5,outcomes,0.493,0.154,0.215,1.0
